"","district","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","year"
"388",9679,287,66,77,0,7,2013
"389",9761,2500,560,719,7,125,2013
"390",9762,319,81,101,3,8,2013
"391",9763,592,149,181,7,19,2013
"392",9764,308,97,127,3,22,2013
"393",9771,292,93,112,3,10,2013
"394",9772,824,185,218,2,19,2013
"395",9773,332,75,90,1,8,2013
"396",9774,422,129,153,0,17,2013
"397",9775,807,217,273,3,44,2013
"398",9776,209,70,99,3,20,2013
"399",9777,435,109,128,1,9,2013
"400",9778,412,123,140,4,9,2013
"401",9779,465,96,114,2,11,2013
"402",9780,478,99,119,4,8,2013
