"","district","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","year"
"1",1001,657,202,346,4,129,2014
"2",1002,1822,600,948,6,303,2014
"3",1003,2126,670,922,6,214,2014
"4",1004,833,245,357,1,98,2014
"5",10041,2298,817,1224,11,356,2014
"6",10042,398,141,172,2,21,2014
"7",10043,674,194,263,2,58,2014
"8",10044,971,300,396,1,83,2014
"9",10045,497,258,312,1,46,2014
"10",10046,295,68,81,1,9,2014
"11",1051,548,108,168,2,45,2014
"12",1053,851,211,296,0,62,2014
"13",1054,806,205,272,7,42,2014
"14",1055,828,287,377,4,63,2014
"15",1056,1464,404,575,7,136,2014
"16",1057,434,107,138,1,22,2014
"17",1058,1035,264,376,3,87,2014
"18",1059,655,159,219,2,42,2014
"19",1060,1073,270,404,7,100,2014
"20",1061,575,142,221,3,70,2014
"21",1062,784,213,307,6,76,2014
"22",11000,28435,9946,16470,131,5697,2014
"23",12051,376,115,178,2,46,2014
"24",12052,494,202,314,2,102,2014
"25",12053,204,56,119,1,56,2014
"26",12054,629,165,269,0,93,2014
"27",12060,664,194,270,2,67,2014
"28",12061,566,145,207,5,40,2014
"29",12062,395,141,186,1,33,2014
"30",12063,560,173,261,3,76,2014
"31",12064,585,240,315,8,50,2014
"32",12065,928,252,334,3,65,2014
"33",12066,377,145,197,1,46,2014
"34",12067,530,208,297,3,70,2014
"35",12068,541,137,189,7,38,2014
"36",12069,501,167,227,3,41,2014
"37",12070,430,99,115,1,10,2014
"38",12071,409,148,228,1,71,2014
"39",12072,646,167,248,3,68,2014
"40",12073,382,152,223,3,63,2014
"41",13003,997,370,568,10,178,2014
"42",13004,570,172,269,4,88,2014
"43",13071,966,280,376,5,81,2014
"44",13072,689,240,297,3,51,2014
"45",13073,1130,356,431,2,51,2014
"46",13074,676,194,240,4,37,2014
"47",13075,949,389,515,9,96,2014
"48",13076,690,230,290,1,54,2014
"49",14511,917,434,611,8,158,2014
"50",14521,784,233,309,3,67,2014
"51",14522,828,251,358,6,91,2014
"52",14523,742,208,262,3,43,2014
"53",14524,1161,336,455,6,107,2014
"54",14612,1942,686,1068,10,347,2014
"55",14625,894,261,365,6,89,2014
"56",14626,1191,336,515,5,168,2014
"57",14627,634,181,252,5,63,2014
"58",14628,566,164,221,1,52,2014
"59",14713,2944,1139,1839,15,668,2014
"60",14729,918,252,338,6,74,2014
"61",14730,802,232,295,4,56,2014
"62",15001,489,174,262,2,82,2014
"63",15002,1815,594,944,15,308,2014
"64",15003,1409,528,848,5,276,2014
"65",15081,333,101,132,1,23,2014
"66",15082,743,243,347,9,84,2014
"67",15083,666,276,355,7,56,2014
"68",15084,872,235,362,3,106,2014
"69",15085,866,336,485,2,120,2014
"70",15086,386,124,164,2,29,2014
"71",15087,840,208,260,2,42,2014
"72",15088,926,214,329,6,95,2014
"73",15089,749,245,350,9,81,2014
"74",15090,482,163,210,1,40,2014
"75",15091,552,166,226,3,52,2014
"76",16051,1677,415,601,4,159,2014
"77",16052,736,220,297,6,59,2014
"78",16053,432,137,175,1,28,2014
"79",16054,215,79,107,3,19,2014
"80",16055,384,145,176,1,25,2014
"81",16056,404,93,120,1,22,2014
"82",16061,231,76,96,1,14,2014
"83",16062,389,134,183,2,37,2014
"84",16063,378,84,104,1,11,2014
"85",16064,398,124,168,4,33,2014
"86",16065,315,91,116,0,22,2014
"87",16066,500,130,172,1,33,2014
"88",16067,683,184,234,1,44,2014
"89",16068,281,75,104,0,22,2014
"90",16069,225,55,67,2,7,2014
"91",16070,475,136,166,1,28,2014
"92",16071,337,98,124,0,22,2014
"93",16072,243,57,78,1,14,2014
"94",16073,705,175,195,1,13,2014
"95",16074,308,91,113,1,20,2014
"96",16075,462,72,99,3,15,2014
"97",16076,366,166,185,4,12,2014
"98",16077,489,102,145,0,39,2014
"99",2000,15698,5777,8725,47,2728,2014
"100",3101,1776,665,899,11,181,2014
"101",3102,479,176,252,6,45,2014
"102",3103,622,186,288,11,80,2014
"103",3151,588,167,237,3,47,2014
"104",3152,1302,439,659,44,151,2014
"105",3153,701,215,317,11,72,2014
"106",3154,383,125,172,3,30,2014
"107",3155,535,160,218,8,40,2014
