"","district","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","year"
"108",3156,237,77,101,2,18,2014
"109",3157,402,134,181,1,32,2014
"110",3158,349,107,153,1,37,2014
"111",3241,7694,2524,3573,29,877,2014
"112",3251,700,213,314,8,70,2014
"113",3252,672,236,319,2,69,2014
"114",3254,1236,354,489,5,105,2014
"115",3255,260,105,145,3,22,2014
"116",3256,378,153,223,7,52,2014
"117",3257,524,154,220,1,46,2014
"118",3351,906,356,477,11,81,2014
"119",3352,713,266,377,4,90,2014
"120",3353,818,258,378,12,93,2014
"121",3354,214,75,89,2,8,2014
"122",3355,858,250,394,6,106,2014
"123",3356,423,157,207,4,38,2014
"124",3357,843,265,330,1,38,2014
"125",3358,797,244,360,9,84,2014
"126",3359,893,255,387,3,109,2014
"127",3360,379,95,150,3,40,2014
"128",3361,566,180,267,6,56,2014
"129",3401,400,139,222,6,67,2014
"130",3402,365,108,147,1,24,2014
"131",3403,837,297,443,6,115,2014
"132",3404,1002,496,763,10,219,2014
"133",3405,649,299,391,2,76,2014
"134",3451,344,112,147,1,26,2014
"135",3452,1073,359,443,5,49,2014
"136",3453,645,171,232,5,42,2014
"137",3454,1429,406,543,8,101,2014
"138",3455,552,145,186,2,22,2014
"139",3456,528,182,222,4,31,2014
"140",3457,736,224,301,2,47,2014
"141",3458,444,144,194,4,33,2014
"142",3459,980,326,468,7,96,2014
"143",3460,514,205,285,3,57,2014
"144",3461,333,129,174,3,31,2014
"145",3462,289,85,104,1,14,2014
"146",4011,3821,1609,2779,14,1053,2014
"147",4012,902,275,529,12,224,2014
"148",5111,3797,1494,2513,17,916,2014
"149",5112,2863,1239,1818,8,525,2014
"150",5113,2482,1129,1780,18,557,2014
"151",5114,1459,372,649,9,240,2014
"152",5116,1335,617,948,5,291,2014
"153",5117,574,218,352,1,116,2014
"154",5119,1272,382,621,6,206,2014
"155",5120,620,178,239,1,52,2014
"156",5122,758,239,376,6,114,2014
"157",5124,2479,759,1130,7,320,2014
"158",5154,1031,355,486,9,104,2014
"159",5158,2082,702,950,6,207,2014
"160",5162,1720,498,757,10,218,2014
"161",5166,1016,345,488,7,109,2014
"162",5170,2074,600,873,2,257,2014
"163",5314,1771,690,1176,11,421,2014
"164",5315,8464,3406,5406,25,1774,2014
"165",5316,865,348,525,3,139,2014
"166",5334,2804,1265,1939,17,602,2014
"167",5358,1244,401,613,7,169,2014
"168",5362,2210,649,963,5,273,2014
"169",5366,603,256,349,3,76,2014
"170",5370,985,358,489,4,112,2014
"171",5374,1045,329,448,7,87,2014
"172",5378,815,244,389,1,122,2014
"173",5382,1823,606,935,9,268,2014
"174",5512,416,176,244,0,57,2014
"175",5513,1709,687,1117,7,388,2014
"176",5515,1554,534,832,7,266,2014
"177",5554,1356,402,602,6,147,2014
"178",5558,724,219,305,4,69,2014
"179",5562,2836,960,1455,16,427,2014
"180",5566,1665,453,680,10,175,2014
"181",5570,953,224,343,1,92,2014
"182",5711,1610,506,804,10,257,2014
"183",5754,1051,338,491,4,115,2014
"184",5758,712,270,437,7,132,2014
"185",5762,485,143,187,3,38,2014
"186",5766,814,367,504,13,106,2014
"187",5770,833,326,508,5,156,2014
"188",5774,1106,402,568,5,141,2014
"189",5911,2447,906,1333,5,374,2014
"190",5913,3857,2066,3297,14,1116,2014
"191",5914,1011,286,492,3,173,2014
"192",5915,764,313,519,4,173,2014
"193",5916,983,241,372,2,113,2014
"194",5954,1349,330,541,4,185,2014
"195",5958,964,235,361,1,101,2014
"196",5962,1941,598,894,6,249,2014
"197",5966,508,129,166,0,35,2014
"198",5970,1070,432,535,4,86,2014
"199",5974,1172,345,484,6,108,2014
"200",5978,1554,554,864,4,279,2014
"201",6411,554,270,395,5,111,2014
"202",6412,4155,2191,3292,29,976,2014
"203",6413,625,298,479,7,146,2014
"204",6414,1675,787,1071,18,230,2014
"205",6431,503,286,386,5,78,2014
"206",6432,568,236,311,5,61,2014
"207",6433,499,194,305,10,80,2014
"208",6434,611,232,338,14,80,2014
"209",6435,886,342,581,10,189,2014
"210",6436,603,296,375,10,55,2014
"211",6437,172,78,97,2,14,2014
"212",6438,735,320,514,11,143,2014
"213",6439,380,181,222,3,29,2014
"214",6440,786,302,419,9,95,2014
"215",6531,841,387,577,19,152,2014
"216",6532,585,209,308,29,56,2014
"217",6533,447,192,284,17,63,2014
"218",6534,752,202,341,10,91,2014
"219",6535,240,75,95,2,16,2014
"220",6611,895,534,796,7,225,2014
"221",6631,600,239,302,5,53,2014
"222",6632,339,169,211,6,31,2014
"223",6633,450,165,235,3,55,2014
"224",6634,371,139,205,5,45,2014
"225",6635,405,166,238,10,38,2014
"226",6636,245,122,153,3,18,2014
"227",7111,948,287,384,2,88,2014
"228",7131,599,145,184,2,32,2014
"229",7132,713,198,250,1,41,2014
"230",7133,995,284,365,5,61,2014
"231",7134,368,126,152,1,16,2014
"232",7135,219,58,68,0,5,2014
"233",7137,881,237,314,4,61,2014
"234",7138,895,220,311,2,69,2014
"235",7140,323,99,127,3,19,2014
"236",7141,509,108,141,1,27,2014
"237",7143,740,174,223,1,32,2014
"238",7211,741,254,348,4,76,2014
"239",7231,469,148,188,0,29,2014
"240",7232,275,64,90,1,13,2014
"241",7233,227,51,68,1,10,2014
"242",7235,401,236,260,0,17,2014
"243",7311,332,125,158,2,25,2014
"244",7312,1146,386,495,8,87,2014
"245",7313,360,106,137,1,28,2014
"246",7314,1754,559,761,5,160,2014
"247",7315,1638,518,698,11,139,2014
"248",7316,336,118,153,0,23,2014
"249",7317,322,128,167,1,29,2014
"250",7318,377,108,159,2,41,2014
"251",7319,516,200,277,3,61,2014
"252",7320,175,53,62,0,9,2014
"253",7331,330,116,151,1,27,2014
"254",7332,579,175,228,0,46,2014
"255",7333,311,86,106,3,11,2014
"256",7334,678,178,222,2,36,2014
"257",7335,414,131,162,1,21,2014
"258",7336,290,87,104,0,12,2014
"259",7337,458,108,140,1,20,2014
"260",7338,603,141,191,1,30,2014
"261",7339,854,217,270,6,34,2014
"262",7340,230,74,88,1,6,2014
"263",8111,4965,1768,2467,35,553,2014
"264",8115,1306,335,439,6,73,2014
"265",8116,1623,506,642,21,91,2014
"266",8117,668,188,265,3,52,2014
"267",8118,1867,426,587,13,109,2014
"268",8119,1678,493,655,21,104,2014
"269",8121,616,217,311,4,79,2014
"270",8125,725,233,301,6,43,2014
"271",8126,266,73,103,2,25,2014
"272",8127,457,153,203,3,33,2014
"273",8128,342,103,137,2,20,2014
"274",8135,394,144,185,4,27,2014
"275",8136,874,305,393,9,58,2014
"276",8211,275,76,99,0,21,2014
"277",8212,1316,586,854,10,221,2014
"278",8215,890,297,423,7,95,2014
"279",8216,719,199,267,4,51,2014
"280",8221,680,220,297,3,65,2014
"281",8222,1598,701,1060,9,308,2014
"282",8225,443,120,168,6,36,2014
"283",8226,1449,441,561,5,85,2014
"284",8231,805,261,350,3,71,2014
"285",8235,301,125,164,3,24,2014
"286",8236,381,106,125,0,15,2014
"287",8237,298,117,133,1,12,2014
"288",8311,1964,673,906,7,194,2014
"289",8315,945,212,272,4,47,2014
"290",8316,559,181,234,3,40,2014
"291",8317,1423,502,629,3,93,2014
"292",8325,331,109,140,1,20,2014
"293",8326,533,207,278,5,44,2014
"294",8327,399,134,183,1,35,2014
"295",8335,1060,344,437,5,72,2014
"296",8336,1145,341,445,2,81,2014
"297",8337,434,120,171,5,29,2014
"298",8415,927,321,403,12,51,2014
"299",8416,723,213,275,6,46,2014
"300",8417,516,184,228,5,22,2014
"301",8421,668,268,369,4,81,2014
"302",8425,386,129,161,1,19,2014
"303",8426,620,155,195,2,26,2014
"304",8435,714,190,242,3,33,2014
"305",8436,1217,332,412,5,58,2014
"306",8437,467,117,142,2,11,2014
"307",9161,1083,337,404,10,47,2014
"308",9162,7929,3122,3876,26,578,2014
"309",9163,677,183,207,5,12,2014
"310",9171,420,92,131,6,22,2014
"311",9172,339,78,107,0,19,2014
"312",9173,407,96,109,4,9,2014
"313",9174,463,127,164,6,27,2014
"314",9175,280,86,121,3,21,2014
"315",9176,258,73,85,2,7,2014
"316",9177,403,117,138,5,12,2014
"317",9178,411,129,162,5,20,2014
"318",9179,576,187,232,1,30,2014
"319",9180,263,73,88,3,5,2014
"320",9181,304,61,83,4,11,2014
"321",9182,227,54,72,3,9,2014
"322",9183,339,91,118,4,14,2014
"323",9184,738,243,318,4,58,2014
"324",9185,409,111,128,3,9,2014
"325",9186,504,107,130,5,12,2014
"326",9187,742,210,247,7,17,2014
"327",9188,312,97,111,3,6,2014
"328",9189,627,191,223,4,18,2014
"329",9190,406,100,111,2,9,2014
"330",9261,757,209,254,2,34,2014
"331",9262,367,113,151,9,24,2014
"332",9263,409,114,146,9,18,2014
"333",9271,590,153,182,9,16,2014
"334",9272,182,66,74,4,1,2014
"335",9273,408,138,163,5,16,2014
"336",9274,479,104,121,3,10,2014
"337",9275,563,139,172,7,16,2014
"338",9276,212,54,62,0,4,2014
"339",9277,347,95,108,2,7,2014
"340",9278,267,53,69,4,8,2014
"341",9279,318,82,107,5,10,2014
"342",9361,297,68,94,0,22,2014
"343",9362,1111,294,376,4,59,2014
"344",9363,402,98,121,1,11,2014
"345",9371,232,63,78,1,8,2014
"346",9372,406,120,143,1,15,2014
"347",9373,305,87,107,3,12,2014
"348",9374,270,55,71,1,8,2014
"349",9375,436,91,104,0,9,2014
"350",9376,521,128,140,0,9,2014
"351",9377,186,46,57,2,5,2014
"352",9461,555,176,212,4,23,2014
"353",9462,451,124,158,8,21,2014
"354",9463,325,93,125,11,17,2014
"355",9464,485,112,155,6,29,2014
"356",9471,399,106,126,2,9,2014
"357",9472,256,80,94,2,8,2014
"358",9473,263,77,99,9,7,2014
"359",9474,328,93,108,3,8,2014
"360",9475,298,82,102,1,15,2014
"361",9476,255,63,79,7,8,2014
"362",9477,304,87,99,2,7,2014
"363",9478,344,77,110,8,19,2014
"364",9479,349,93,108,6,8,2014
"365",9561,327,57,79,0,16,2014
"366",9562,650,160,196,1,30,2014
"367",9563,500,174,224,0,44,2014
"368",9564,3986,1372,1816,26,349,2014
"369",9565,126,18,34,0,13,2014
"370",9571,513,138,181,0,33,2014
"371",9572,335,86,104,2,13,2014
"372",9573,229,88,111,6,9,2014
"373",9574,463,117,149,5,22,2014
"374",9575,310,88,104,4,8,2014
"375",9576,261,77,98,2,16,2014
"376",9577,365,89,114,5,15,2014
"377",9661,484,150,181,8,21,2014
"378",9662,420,134,180,6,31,2014
"379",9663,840,244,311,2,43,2014
"380",9671,420,109,127,6,8,2014
"381",9672,423,80,94,1,7,2014
"382",9673,319,64,77,2,8,2014
"383",9674,368,72,83,0,6,2014
"384",9675,324,79,94,1,7,2014
"385",9676,441,108,127,5,8,2014
"386",9677,343,75,94,5,9,2014
"387",9678,288,73,93,4,7,2014
"388",9679,344,85,101,1,7,2014
"389",9761,2637,640,797,12,118,2014
"390",9762,314,75,92,5,7,2014
"391",9763,535,140,170,4,16,2014
"392",9764,266,93,111,1,11,2014
"393",9771,278,86,104,2,13,2014
"394",9772,763,220,247,0,18,2014
"395",9773,314,92,106,1,6,2014
"396",9774,483,119,144,7,9,2014
"397",9775,754,195,245,9,32,2014
"398",9776,250,64,81,0,16,2014
"399",9777,376,77,90,0,11,2014
"400",9778,396,129,145,1,6,2014
"401",9779,408,89,112,1,16,2014
"402",9780,442,110,128,2,10,2014
